,Close
0,76.519997
1,76.839996
2,76.18
3,77.730003
4,77.83000200000001
5,76.989998
6,74.690002
7,76.110001
8,78.400002
9,79.879997
10,81.449997
11,80.610001
12,80.769997
13,80.779999
14,80.019997
15,79.220001
16,78.019997
17,78.449997
18,77.190002
19,76.150002
20,76.150002
21,78.18
22,77.739998
23,76.720001
24,76.449997
25,76.279999
26,74.050003
27,75.18
28,76.239998
29,76.739998
30,77.650002
31,77.83000200000001
32,77.5
33,75.779999
34,76.239998
35,78.0
36,75.910004
37,74.989998
38,75.400002
39,75.629997
40,75.610001
41,74.470001
42,74.440002
43,75.190002
44,76.510002
45,76.230003
46,75.739998
47,75.599998
48,76.709999
49,79.41999799999999
50,79.900002
51,78.839996
52,78.449997
53,79.559998
54,80.410004
55,78.970001
56,79.75
57,79.599998
58,80.900002
59,81.209999
60,80.010002
61,79.440002
62,77.550003
63,77.57
64,78.93
65,78.050003
66,78.07
67,79.360001
68,80.910004
69,82.75
70,83.800003
71,84.43
72,85.309998
73,82.91999799999999
74,83.010002
75,83.300003
76,83.199997
77,82.220001
78,81.66999799999999
79,81.559998
80,82.440002
81,82.32
82,82.279999
83,82.16999799999999
84,82.040001
85,83.010002
86,83.519997
87,82.709999
88,82.309998
89,80.779999
90,83.089996
91,83.620003
92,84.629997
93,82.410004
94,81.529999
95,81.910004
96,80.68
97,80.470001
98,78.769997
99,78.989998
100,78.809998
101,77.559998
102,78.099998
103,78.43
104,78.510002
105,78.010002
106,77.459999
107,78.440002
108,81.370003
109,80.41999799999999
110,80.879997
111,80.629997
112,80.550003
113,80.480003
114,80.540001
115,79.33000200000001
116,80.550003
117,80.150002
118,79.190002
119,80.290001
120,80.440002
121,82.440002
122,82.050003
123,82.139999
124,80.66999799999999
125,80.66999799999999
126,82.160004
127,81.83000200000001
128,81.529999
129,80.709999
130,81.059998
131,81.790001
132,82.910004
133,82.510002
134,84.739998
135,87.879997
136,88.860001
137,87.980003
138,88.010002
139,85.800003
140,85.769997
141,86.910004
142,87.290001
143,87.550003
144,87.220001
145,85.650002
146,85.879997
147,87.949997
148,90.099998
149,89.68
150,89.760002
151,90.849998
152,94.970001
153,97.910004
154,98.389999
155,97.040001
156,95.440002
157,96.949997
158,94.16999799999999
159,95.290001
160,96.989998
161,95.209999
162,94.010002
163,94.139999
164,94.059998
165,96.440002
166,95.120003
167,94.300003
168,94.150002
169,93.620003
170,94.190002
171,93.43
172,94.41999799999999
173,93.93
174,95.16999799999999
175,95.309998
176,90.559998
177,86.059998
178,82.089996
179,83.0
180,87.190002
181,89.730003
